EmpID,Gender,PreviousExperience,InterviewScore,SkillScore,PersonalityScore,AftEval
E0000513589,0,0,44,76,86,1
E0000513594,0,1,86,94,75,1
E0000513607,0,0,83,76,74,1
E0000513612,0,0,76,49,70,1
E0000513542,0,1,57,41,77,0
E0000513556,1,2,42,47,62,0
E0000513486,1,1,72,71,73,1
E0000513401,1,2,58,94,73,0
E0000513453,0,2,49,69,96,1
E0000513359,1,1,59,58,79,1
E0000513312,0,0,56,55,89,1
E0000513237,0,0,53,94,70,1
E0000513256,1,2,99,50,71,1
E0000513275,1,1,53,64,96,1
E0000513289,0,1,51,60,79,0
E0000513167,0,2,45,45,100,1
E0000513101,1,0,50,88,79,1
E0000513115,0,2,49,69,98,1
E0000513134,0,1,42,81,68,0
E0000513064,1,0,57,70,87,1
E0000513012,1,2,49,41,96,1
E0000512957,0,0,81,56,75,1
E0000512962,0,1,50,64,60,1
E0000512976,0,0,62,59,71,1
E0000512849,1,0,92,65,62,1
E0000512887,1,1,59,99,84,1
E0000512751,0,1,54,44,91,1
E0000512765,1,0,88,45,60,1
E0000512784,1,0,55,45,71,0
E0000512798,1,1,76,47,77,1
E0000512662,0,2,76,54,73,1
E0000512676,0,1,50,56,66,1
E0000512708,1,2,51,96,62,1
E0000512657,1,0,71,68,67,1
E0000512619,0,0,48,67,77,1
E0000512535,1,2,66,53,95,0
E0000512549,1,0,99,46,65,1
E0000512432,1,0,58,100,95,1
E0000512446,0,0,74,55,75,1
E0000512465,1,2,47,93,79,1
E0000512484,1,0,90,41,64,0
E0000512362,1,2,76,79,69,1
E0000512268,1,0,48,73,73,1
E0000512273,0,1,76,72,87,1
E0000512292,0,1,57,57,73,1
E0000512165,0,2,72,65,60,1
E0000512179,1,1,43,92,87,1
E0000512198,0,0,55,82,93,1
E0000511993,1,0,58,96,85,1
E0000511871,1,0,96,92,65,1
E0000511758,1,0,61,79,76,1
E0000511763,1,1,63,79,93,1
E0000511814,1,2,88,50,62,1
E0000511669,0,2,51,48,71,1
E0000511674,1,2,87,72,77,1
E0000511688,1,0,49,92,76,1
E0000511711,0,2,45,94,74,1
E0000511533,1,1,86,80,66,1
E0000511552,1,2,60,50,62,0
E0000511496,0,0,88,46,77,1
E0000511411,0,0,45,96,72,1
E0000511355,1,1,51,86,63,0
E0000511388,1,2,53,55,75,0
E0000511406,0,1,81,76,75,1
E0000511252,0,2,56,43,94,1
E0000511271,1,1,82,48,71,1
E0000511285,1,0,44,44,86,1
E0000511317,0,0,56,48,62,0
E0000511177,0,2,51,78,79,1
E0000511196,1,1,80,99,94,1
E0000511233,0,1,47,67,95,1
E0000511163,0,0,62,92,61,1
E0000511144,0,0,58,54,68,0
E0000511088,0,1,42,54,63,1
E0000511017,0,0,78,48,78,0
E0000511036,1,0,53,90,62,0
E0000511041,1,0,99,49,75,0
E0000510934,0,0,61,63,73,0
E0000510967,0,0,88,59,78,1
E0000510986,1,2,51,97,61,1
E0000510901,0,0,88,86,76,1
E0000510915,0,0,78,44,76,0
E0000510845,0,1,54,55,86,1
E0000510794,0,1,82,47,94,1
E0000510812,1,0,53,51,72,0
E0000510826,0,0,86,77,77,1
E0000510686,0,1,52,99,68,1
E0000510691,1,0,96,42,72,1
E0000510615,0,0,53,83,79,1
E0000510634,1,1,58,70,70,1
E0000510667,1,0,51,52,66,1
E0000510559,1,1,57,81,74,0
E0000510564,0,0,94,46,70,0
E0000510442,1,0,59,56,73,0
E0000510489,0,1,100,64,77,1
E0000510494,0,0,92,63,65,1
E0000510423,0,2,81,45,62,1
E0000510386,1,0,69,61,84,1
E0000510391,1,2,52,46,79,1
E0000510404,0,0,49,75,76,0
E0000510418,1,2,57,76,69,1
E0000510348,0,0,42,69,86,1
E0000510283,1,1,100,88,76,1
E0000510297,1,1,55,85,82,1
E0000510334,0,1,91,67,76,1
E0000510207,1,2,50,58,79,0
E0000510245,0,0,57,56,70,0
E0000510175,1,0,45,83,86,1
E0000510123,0,2,71,65,97,1
E0000510137,0,0,42,92,78,1
E0000510161,0,0,96,59,79,1
E0000509941,1,1,94,72,62,1
E0000509955,1,1,51,79,61,1
E0000509993,1,1,95,47,64,1
E0000510001,0,0,84,73,71,1
E0000509871,0,1,51,67,65,1
E0000509777,1,0,96,79,78,1
E0000509814,1,0,55,59,77,1
E0000509833,1,0,91,71,80,1
E0000509847,0,1,50,67,67,1
E0000509739,1,0,55,56,65,0
E0000509641,0,0,58,99,86,1
E0000509547,0,1,69,65,98,1
E0000509566,1,2,48,41,65,1
E0000509585,0,2,50,67,69,1
E0000509599,1,0,92,67,73,1
E0000509496,1,0,66,44,72,0
E0000509509,0,1,51,89,78,1
E0000509341,0,1,88,60,96,1
E0000509388,1,0,55,97,95,1
E0000509299,0,1,71,58,64,0
E0000509303,0,0,56,51,64,1
E0000509336,0,0,53,68,74,1
E0000509228,1,2,50,51,76,1
E0000509252,1,0,60,85,74,1
E0000509125,1,0,67,58,95,1
E0000509022,1,1,50,92,67,1
E0000509036,1,1,44,41,70,1
E0000509041,0,1,55,60,84,1
E0000508929,0,1,46,50,88,1
E0000508934,1,2,89,59,79,0
E0000508953,1,0,82,62,73,1
E0000508991,0,1,87,53,69,1
E0000509003,1,1,59,51,66,1
E0000508845,0,0,56,69,69,1
E0000508878,1,1,89,46,68,1
E0000508775,1,2,91,53,77,1
E0000508794,0,1,45,98,93,1
E0000508812,0,1,47,92,78,1
E0000508686,1,0,79,64,71,1
E0000508691,0,0,57,56,89,1
E0000508704,0,1,43,96,66,0
E0000508737,1,0,57,50,67,0
E0000508559,0,1,63,63,79,0
E0000508578,0,1,90,70,67,1
E0000508512,1,1,64,59,73,1
E0000508456,0,2,53,69,68,1
E0000508423,0,0,73,89,61,1
E0000508353,1,0,55,76,61,0
E0000508372,1,1,46,63,67,1
E0000508386,0,1,46,88,77,1
E0000508391,0,1,57,59,66,0
E0000508264,0,0,63,79,61,1
E0000508283,1,0,50,45,74,0
E0000508301,0,0,76,56,89,1
E0000508329,0,1,100,89,77,1
E0000508334,0,0,59,44,67,0
E0000508194,0,1,55,87,75,1
E0000508207,1,0,87,95,62,1
E0000508226,1,0,50,61,88,1
E0000508231,1,0,48,98,62,1
E0000508104,0,0,59,80,71,1
E0000508123,0,0,49,43,77,1
E0000508142,1,0,46,53,61,1
E0000508091,1,1,56,47,77,1
E0000508029,0,0,56,63,98,1
E0000508034,0,1,93,58,73,1
E0000508086,1,0,60,100,76,1
E0000508001,1,0,44,47,75,0
E0000507857,1,0,56,77,68,0
E0000507768,1,1,73,70,61,1
E0000507819,0,1,60,48,60,0
E0000507824,0,1,51,82,72,1
E0000507838,0,1,98,94,77,1
E0000507632,1,0,60,58,67,1
E0000507646,1,0,53,56,69,0
E0000507608,1,0,74,75,62,1
E0000507538,1,2,83,60,85,1
E0000507576,0,0,46,84,77,1
E0000507581,0,0,74,73,70,1
E0000507524,0,1,98,49,70,0
E0000507492,0,1,79,53,94,1
E0000507398,1,2,55,49,66,0
E0000507435,0,0,57,54,88,0
E0000507313,0,1,57,50,92,0
E0000507327,0,2,43,41,78,0
E0000507346,1,1,46,66,66,1
E0000507351,0,0,57,41,60,0
E0000507224,0,0,51,54,68,1
E0000507238,0,0,42,90,65,1
E0000507243,0,1,76,62,77,0
E0000507121,1,1,80,51,75,0
E0000507149,0,0,66,43,99,1
E0000507192,0,0,56,93,69,0
E0000507051,1,1,82,52,92,1
E0000507065,1,0,53,79,99,1
E0000507098,1,2,60,99,61,0
E0000507102,0,0,74,68,78,1
E0000506958,1,0,77,49,63,1
E0000506888,1,0,77,56,70,1
E0000506906,1,0,79,43,76,0
E0000506925,1,1,94,71,72,0
E0000506817,0,0,52,73,95,0
E0000506822,1,1,54,69,61,1
E0000506836,0,0,75,63,60,0
E0000506639,0,2,50,43,70,1
E0000506644,1,1,51,84,62,0
E0000506663,1,0,51,91,78,1
E0000506696,1,1,55,68,80,1
E0000506555,0,1,50,67,63,0
E0000506593,0,0,53,52,85,0
E0000506471,1,1,93,66,79,0
E0000506503,0,0,70,73,76,0
E0000506466,0,0,70,55,81,0
E0000506396,1,0,72,50,97,0
E0000506409,1,0,54,63,60,0
E0000506452,1,1,62,57,76,0
E0000506382,1,1,67,94,73,0
E0000506363,1,0,99,58,98,1
E0000506306,0,1,56,52,71,0
E0000506236,1,1,42,66,67,0
E0000506077,0,2,82,82,64,0
E0000506114,1,0,58,88,86,0
E0000505989,1,1,79,99,68,0
E0000506039,1,0,96,60,93,0
E0000506044,1,1,50,90,91,0
E0000506058,1,2,42,47,74,0
E0000505937,1,0,44,84,75,0
E0000505961,1,0,56,42,73,0
E0000505834,1,0,65,84,79,0
E0000505872,0,0,45,45,92,0
E0000505797,0,0,80,87,68,1
E0000505656,0,0,43,48,73,0
E0000505661,0,0,48,59,61,0
E0000505689,0,0,74,41,76,0
E0000505694,1,2,55,43,77,0
E0000505707,1,0,69,76,67,0
E0000505623,0,1,48,50,74,0
E0000505497,1,0,56,68,71,0
E0000505515,0,1,60,69,77,0
E0000505464,0,0,72,88,95,1
E0000505323,0,1,47,59,75,0
E0000505337,0,1,91,73,77,0
E0000505356,1,2,64,76,70,0
E0000505248,1,0,100,58,76,0
E0000505267,0,2,83,51,71,1
E0000505286,0,1,77,86,60,0
E0000505178,1,0,50,95,72,0
E0000505197,0,1,92,96,71,0
E0000505229,0,0,55,68,87,0
E0000505145,1,2,46,70,99,1
E0000505042,1,0,85,43,90,0
E0000505056,1,0,85,60,61,1
E0000505061,1,1,54,42,76,0
E0000504921,0,0,50,95,60,0
E0000504973,0,1,76,55,63,0
E0000504851,1,0,54,68,77,0
E0000504879,1,0,58,91,67,0
E0000504762,0,1,43,51,79,0
E0000504776,1,0,80,68,78,1
E0000504827,1,0,83,45,72,0
E0000504673,1,2,87,53,76,0
E0000504687,0,0,52,89,77,0
E0000504598,1,0,96,71,96,1
E0000504649,0,1,73,44,86,0
E0000504668,0,2,81,89,64,0
E0000504527,1,1,90,61,73,1
E0000504532,1,1,52,41,78,0
E0000504584,0,2,76,72,76,0
E0000504354,0,0,56,52,66,0
E0000504373,1,0,77,89,79,1
E0000504251,0,0,62,97,61,0
E0000504265,0,1,77,96,69,0
E0000504284,0,0,56,41,78,0
E0000504298,1,0,86,74,85,0
E0000504302,0,0,56,84,73,0
E0000504232,1,0,99,100,63,1
E0000504213,1,0,52,96,100,0
E0000504227,1,1,55,92,60,0
E0000504124,0,0,51,67,76,0
E0000504138,0,0,89,86,87,1
E0000504143,0,0,71,50,70,0
E0000504002,0,0,47,55,64,0
E0000504016,0,0,69,99,72,0
E0000504035,0,1,57,96,73,0
E0000503844,0,1,75,46,92,0
E0000503877,0,1,57,44,78,0
E0000503914,1,2,70,87,71,0
E0000503774,1,2,51,95,84,1
E0000503793,1,2,50,70,70,0
E0000503825,1,1,55,87,78,0
E0000503699,1,2,50,56,76,0
E0000503741,1,0,59,59,81,0
E0000503596,0,0,59,85,98,0
E0000503628,1,0,52,83,68,0
E0000503633,0,2,55,79,84,0
E0000503666,0,2,74,63,75,1
E0000503558,1,0,44,61,70,1
E0000503563,0,2,46,42,90,0
E0000503577,1,0,56,79,73,0
E0000503441,1,0,49,58,70,0
E0000503455,1,1,87,41,74,0
E0000503469,0,0,51,58,68,0
E0000503488,1,0,42,46,76,0
E0000503493,0,2,70,43,61,0
E0000503506,0,0,57,44,66,0
E0000503366,1,2,93,57,91,1
E0000503371,1,0,41,79,60,0
E0000503263,1,1,64,50,72,0
E0000503277,1,0,53,75,83,0
E0000503309,1,0,50,48,87,0
E0000503314,1,0,67,64,75,0
E0000503211,1,2,41,82,77,0
E0000503225,1,2,96,68,61,0
E0000503103,0,0,53,54,92,0
E0000503117,1,0,74,49,68,0
E0000503122,0,0,54,56,61,0
E0000503028,1,0,79,79,64,0
E0000503099,0,0,53,56,76,0
E0000502978,1,0,55,52,92,0
E0000502983,1,1,74,41,72,0
E0000502875,1,2,53,63,74,0
E0000502894,1,1,41,88,91,0
E0000502753,1,2,58,71,60,0
E0000502701,0,0,52,54,73,0
E0000502659,0,1,43,52,70,0
E0000502683,0,0,75,98,69,1
E0000502556,1,1,93,49,68,0
E0000502589,1,2,51,55,78,0
E0000502594,0,0,41,81,77,0
E0000502542,0,0,51,99,72,0
E0000502472,0,1,70,55,68,0
E0000502518,1,0,58,66,74,0
E0000502523,0,1,51,68,72,0
E0000502467,0,1,48,66,68,1
E0000502415,0,1,50,42,64,0
E0000502429,1,1,72,93,66,0
E0000502453,0,0,83,60,72,0
E0000502359,0,1,52,42,82,0
E0000502364,1,2,82,46,77,0
E0000502378,1,0,59,59,73,0
E0000502261,1,1,44,88,87,0
E0000502289,1,0,67,76,70,0
E0000502223,0,0,72,85,78,0
E0000502148,0,0,55,80,66,0
E0000502083,0,0,68,51,70,0
E0000501995,0,0,45,51,75,0
E0000502026,0,1,50,95,72,0
E0000501976,1,0,56,42,71,0
E0000501821,0,0,63,57,63,0
E0000501835,1,0,61,80,75,0
E0000501854,1,0,52,76,66,0
E0000501868,1,2,59,86,70,0
E0000501887,1,1,53,68,68,0
E0000501802,0,0,53,80,61,0
E0000501732,1,2,53,72,71,0
E0000501695,1,1,88,88,75,0
E0000501713,0,1,47,79,78,0
E0000501643,1,2,87,84,64,1
E0000501619,0,1,47,59,70,0
E0000501516,0,0,72,76,72,0
E0000501521,1,2,57,76,67,0
E0000501395,1,2,64,71,73,0
E0000501446,0,1,44,59,75,0
E0000501319,0,1,56,96,68,0
E0000501343,0,2,68,48,71,0
E0000501381,0,2,51,54,92,0
E0000501235,1,0,63,76,72,0
E0000501305,0,0,86,86,74,1
E0000501202,0,2,70,52,66,0
E0000501081,0,0,52,70,79,0
E0000501108,1,0,54,99,90,1
E0000501005,1,0,58,49,76,0
E0000501019,1,1,59,81,95,0
E0000501038,1,1,48,74,100,0
E0000501043,1,0,96,42,73,0
E0000500885,0,0,50,73,76,0
E0000500899,1,0,92,52,79,0
E0000500903,0,2,43,42,70,0
E0000500936,1,2,55,79,77,1
E0000500809,0,0,57,76,73,0
E0000500847,0,0,61,54,89,0
E0000500852,1,0,75,90,65,1
E0000500711,0,0,100,82,68,0
E0000500744,1,0,59,53,77,0
E0000500796,0,1,58,93,77,0
E0000500636,0,1,50,58,78,0
E0000500669,1,0,64,52,64,0
E0000500603,1,2,53,77,72,0
E0000500617,1,2,59,59,81,0
E0000500482,0,0,59,73,77,0
E0000500496,0,2,47,42,66,0
E0000500369,1,0,97,69,74,0
E0000500233,0,1,60,89,65,0
E0000500271,1,0,59,65,66,0
E0000500111,0,0,53,60,76,0
E0000499982,0,1,64,50,79,0
E0000499996,1,0,54,50,68,0
E0000500036,0,1,52,65,100,0
E0000500041,1,2,43,54,76,0
E0000499874,1,0,41,54,67,0
E0000499799,0,1,63,85,69,0
E0000499714,1,1,50,67,77,0
E0000499588,0,0,80,74,82,0
E0000499593,1,0,57,89,85,0
E0000499639,1,2,50,51,100,0
E0000499541,0,0,68,84,63,0
E0000499414,0,0,69,89,61,0
E0000499433,0,2,46,47,61,0
E0000499358,0,0,74,71,71,0
E0000499241,0,1,47,43,73,0
E0000499274,0,1,72,43,85,0
E0000499306,1,2,50,89,66,0
E0000499203,0,1,54,49,75,0
E0000499128,1,1,75,65,85,1
E0000499133,1,1,73,41,76,0
E0000498975,0,1,73,75,76,1
E0000498891,0,2,93,58,76,0
E0000498707,0,1,65,41,93,0
E0000498731,1,1,75,85,97,1
E0000498534,1,2,71,60,97,1
E0000498529,1,0,44,79,71,0
E0000498515,0,1,43,47,63,0
E0000498318,1,0,57,71,91,1
E0000498323,1,0,68,59,75,0
E0000498215,1,0,42,49,71,0
E0000498267,0,1,50,54,79,0
E0000498131,0,0,97,61,68,1
E0000498145,0,0,55,53,73,0
E0000498183,0,2,72,41,79,0
E0000498197,0,1,67,47,90,0
E0000498126,0,0,60,54,71,0
E0000497992,1,1,69,73,71,0
E0000498004,1,2,67,100,69,0
E0000498018,1,1,50,44,77,0
E0000497813,0,0,74,69,77,0
E0000497832,0,1,79,71,62,1
E0000497846,0,2,70,59,72,0
E0000497673,1,1,51,56,71,0
E0000497616,1,0,48,42,75,0
E0000497527,0,0,50,82,63,0
E0000497546,0,1,41,85,75,0
E0000497481,0,0,52,50,66,0
E0000497368,1,1,42,59,82,1
E0000497335,1,2,45,90,63,0
E0000497284,1,0,72,51,80,1
E0000497316,0,2,57,98,77,1
E0000497321,1,1,97,43,85,0
E0000497208,1,0,65,46,93,0
E0000497232,0,2,53,68,79,0
E0000497105,0,1,59,100,91,0
E0000497119,1,1,56,91,75,0
E0000497124,0,1,64,91,71,0
E0000497035,1,1,73,49,70,0
E0000496947,1,1,53,43,76,0
E0000496952,0,2,59,98,84,1
E0000496966,1,0,46,45,65,0
E0000496914,1,1,57,96,66,0
E0000496806,0,2,41,88,84,0
E0000496844,0,0,44,55,94,0
E0000496774,0,1,79,100,73,0
E0000496633,0,0,54,58,85,0
E0000496671,0,2,65,51,61,0
E0000496563,1,2,66,60,72,0
E0000496493,0,2,47,95,89,1
E0000496525,1,0,53,97,65,0
E0000496455,1,0,53,70,63,0
E0000792348,1,0,50,53,62,0
E0000851529,1,1,57,98,93,1
E0000886379,1,0,57,75,75,0
E0000568429,0,0,54,60,68,0
E0000567868,1,1,62,43,66,0
E0000574677,1,0,71,44,72,0
E0000584497,0,0,80,62,74,0
E0000572916,0,2,46,50,66,0
E0000586913,0,0,43,52,71,0
E0000584529,0,0,93,61,69,0
E0000591254,0,2,95,61,70,0
E0000561616,1,1,52,42,82,0
E0000554301,0,2,46,51,63,0
E0000556221,1,1,51,76,69,0
E0000585785,0,0,57,50,71,0
E0000585358,0,0,53,53,87,0
E0000462359,1,1,59,56,74,0
E0000623138,1,2,46,44,60,0
E0000807595,0,1,84,56,70,0
E0000889835,1,0,83,59,70,0
E0000435859,1,0,53,54,72,0
E0000546594,0,1,47,55,75,0
E0000545765,0,0,55,43,76,0
E0000623443,1,1,58,55,66,0
E0000543742,0,0,82,67,69,0
E0000831754,1,1,76,56,86,0
E0001006908,1,1,57,63,77,0
E0001310285,0,1,76,52,71,0
E0000962245,0,0,96,78,69,1
E0000432689,1,0,95,53,70,0
E0000435194,1,0,52,55,75,0
E0000481315,0,1,53,45,76,0
E0000606969,0,2,61,89,61,0
E0000457583,0,1,46,91,76,0
E0000594073,1,0,57,78,99,0
E0001006819,0,0,41,100,74,0
E0001062382,1,1,83,61,65,1
E0000477658,1,0,45,46,99,0
E0000592612,0,0,48,47,61,0
E0000922652,1,0,62,58,67,0
E0000461657,0,1,61,75,71,0
E0000603728,0,1,52,51,76,0
E0000919767,1,0,75,50,62,0
E0001006684,0,2,44,82,74,0
E0000436955,0,1,81,54,66,0
E0000909122,1,0,91,86,78,0
E0000566782,1,1,93,64,77,0
E0000578338,1,1,44,87,77,0
E0000637862,0,1,78,44,68,0
E0000787483,0,0,70,86,62,1
E0000686273,1,1,44,91,91,0
E0000685903,0,0,45,46,65,0
E0000686465,1,1,45,55,70,0
E0000685706,0,2,74,66,65,0
E0000741225,0,0,94,50,63,0
E0000437057,0,0,61,56,84,0
E0000437995,1,0,53,95,72,0
E0000893793,1,0,56,48,78,0
E0000889981,1,1,82,45,86,0
E0000824026,0,0,71,70,66,0
E0000431987,1,1,54,66,94,0
E0000535818,0,1,47,83,96,0
E0000446901,1,0,64,68,65,0
E0000449856,1,0,52,78,77,0
E0000525596,1,2,90,79,90,1
E0000527004,1,1,56,42,75,0
E0000921097,1,0,74,59,71,0
E0000921378,1,1,54,53,78,0
E0000775208,1,0,92,55,72,0
E0000758411,0,0,98,49,70,0
E0000769406,1,1,59,54,76,0
E0000759521,1,2,52,51,73,0
E0000760017,0,0,55,45,77,0
E0001519939,1,0,52,52,77,0
E0000775387,0,0,84,79,61,0
E0000778951,1,0,58,94,75,0
E0000762472,0,0,42,91,69,0
E0000760566,0,1,57,70,71,0
E0001440744,1,1,56,93,74,0
E0000760106,0,1,50,42,75,0
E0000777485,1,0,63,61,63,0
E0000757615,1,1,51,70,75,0
E0000769271,0,0,99,43,88,0
E0000967021,0,0,50,43,62,0
E0001300179,0,1,59,92,88,0
E0001300376,0,1,54,49,94,0
E0001300413,0,2,42,45,76,0
E0000441033,0,1,43,82,74,0
E0001342564,0,0,55,93,86,0
E0000567849,1,0,59,52,63,0
E0000908078,0,0,74,42,72,0
E0000751945,0,0,61,48,61,0
E0001596208,0,2,47,72,62,0
E0001190851,1,0,100,76,97,1
E0001143525,1,0,62,78,75,0
E0001600681,0,2,54,68,77,0
E0000449429,0,1,63,57,60,0
E0001105941,1,1,49,83,96,1
E0000917636,1,0,50,60,65,0
E0001101834,1,1,80,53,71,0
E0000923649,1,0,54,57,86,0
E0001180342,0,1,58,48,79,0
E0001187909,1,0,71,94,64,0
E0001067064,0,0,54,49,70,0
E0001149017,1,0,98,85,85,0
E0001152535,1,2,93,51,77,0
E0000577003,1,0,49,49,83,0
E0001085102,1,0,52,65,79,1
E0001147908,0,1,43,52,92,0
E0001149074,1,1,50,79,86,0
E0001182421,1,0,89,50,73,0
E0000712046,1,1,57,67,97,1
E0000711236,0,1,45,83,77,0
E0000558169,1,0,53,42,69,0
E0000703547,0,0,51,87,74,0
E0000704095,1,0,73,46,84,1
E0000704273,1,0,62,65,64,0
E0000704465,0,0,92,55,64,0
E0000704587,1,0,67,59,79,0
E0000704624,1,0,95,73,69,0
E0000704727,0,0,89,52,99,0
E0000703439,1,0,51,48,77,0
E0000558085,0,1,78,51,77,0
E0000791595,1,0,42,45,64,0
E0000727964,0,0,48,100,88,0
E0001117919,0,0,85,69,61,1
E0001137418,0,0,59,81,77,0
E0001177532,0,1,59,62,95,1
E0001596495,1,0,64,87,70,0
E0001596508,0,0,77,94,62,0
E0001596527,0,1,73,64,77,0
E0001596532,1,2,53,71,95,0
E0001596546,0,0,78,82,78,1
E0001596551,1,1,50,44,75,0
E0001596481,1,0,59,62,73,0
E0000568472,1,0,56,50,78,0
E0000889821,1,1,66,50,68,0
E0001129907,1,0,78,57,72,0
E0001075086,1,1,84,67,77,1
E0000706211,1,2,51,54,66,0
E0001032017,0,1,58,42,62,0
E0000707021,0,2,52,51,69,0
E0000967016,0,0,62,53,78,0
E0000568186,1,2,89,48,68,0
E0000630852,1,2,51,86,67,1
E0000704751,1,1,56,97,83,0
E0000704821,1,0,61,74,82,0
E0000704976,1,1,89,45,76,0
E0000704995,1,2,69,62,67,0
E0000704732,0,0,59,86,77,0
E0000828555,0,0,51,85,76,0
E0000894462,0,0,85,57,70,1
E0000629938,0,0,56,97,69,0
E0001464223,0,1,58,78,71,0
E0000707054,1,1,50,59,75,0
E0000447182,0,0,52,86,69,0
E0000697713,1,1,50,58,80,0
E0001464191,1,0,44,96,79,0
E0001210574,1,0,95,94,77,0
E0001064034,0,0,55,69,70,0
E0001177481,0,2,51,41,67,0
E0000592434,1,1,82,76,63,1
E0000593703,1,0,57,92,66,0
E0000503703,1,0,84,45,75,0
E0000498572,0,1,78,92,91,0
E0000512821,0,1,77,52,99,0
E0001262474,0,0,48,51,75,0
E0001262511,0,1,44,73,73,0
E0001298503,1,2,100,64,67,1
E0001298682,0,0,83,51,74,0
E0001298747,1,0,97,89,73,0
E0001318104,1,1,57,75,77,0
E0001318348,0,0,81,88,64,0
E0001337112,0,0,95,70,72,0
E0001337159,1,0,77,89,78,0
E0001337431,1,1,91,49,64,0
E0001262071,0,2,42,53,63,0
E0001003724,0,0,75,41,91,0
E0001003884,0,0,50,80,79,1
